tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI,PROVINSI
2020-03-31,1,0,0,1,1,0,0,1,NUSA TENGGARA BARAT
2020-04-01,2,0,0,2,3,0,0,3,NUSA TENGGARA BARAT
2020-04-02,0,0,0,0,3,0,0,3,NUSA TENGGARA BARAT
2020-04-03,0,0,0,0,3,0,0,3,NUSA TENGGARA BARAT
2020-04-04,0,0,0,0,3,0,0,3,NUSA TENGGARA BARAT
2020-04-05,0,0,0,0,3,0,0,3,NUSA TENGGARA BARAT
2020-04-06,2,0,0,2,5,0,0,5,NUSA TENGGARA BARAT
2020-04-07,0,0,0,0,5,0,0,5,NUSA TENGGARA BARAT
2020-04-08,0,0,0,0,5,0,0,5,NUSA TENGGARA BARAT
2020-04-09,4,0,0,4,9,0,0,9,NUSA TENGGARA BARAT
2020-04-10,5,0,0,5,14,0,0,14,NUSA TENGGARA BARAT
2020-04-11,2,1,0,1,16,0,1,15,NUSA TENGGARA BARAT
2020-04-12,9,0,0,9,25,0,1,24,NUSA TENGGARA BARAT
2020-04-13,3,0,0,3,28,0,1,27,NUSA TENGGARA BARAT
2020-04-14,0,0,0,0,28,0,1,27,NUSA TENGGARA BARAT
2020-04-15,0,0,0,0,28,0,1,27,NUSA TENGGARA BARAT
2020-04-16,7,0,0,7,35,0,1,34,NUSA TENGGARA BARAT
2020-04-17,6,0,0,6,41,0,1,40,NUSA TENGGARA BARAT
2020-04-18,4,0,0,4,45,0,1,44,NUSA TENGGARA BARAT
2020-04-19,4,1,8,-5,49,8,2,39,NUSA TENGGARA BARAT
2020-04-20,9,1,0,8,58,8,3,47,NUSA TENGGARA BARAT
2020-04-21,15,0,0,15,73,8,3,62,NUSA TENGGARA BARAT
2020-04-22,12,0,0,12,85,8,3,74,NUSA TENGGARA BARAT
2020-04-23,6,0,2,4,91,10,3,78,NUSA TENGGARA BARAT
2020-04-24,33,0,2,31,124,12,3,109,NUSA TENGGARA BARAT
2020-04-25,23,0,3,20,147,15,3,129,NUSA TENGGARA BARAT
